winter_year,omiwatari_status,ice_cover_status,first_appearance_date,event_ids,source_ids,quality_flags,research_status,notes
1936,occurred,unknown,1935-12-31,1936-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1937,not_observed,unknown,,1937-season_report-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1938,occurred,unknown,1938-01-09,1938-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1939,occurred,unknown,1939-01-08,1939-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1940,occurred,unknown,1940-01-22,1940-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1941,occurred,unknown,1941-02-05,1941-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1942,occurred,unknown,1942-01-22,1942-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1943,occurred,unknown,1943-01-08,1943-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1944,occurred,unknown,1944-01-19,1944-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1945,occurred,unknown,1945-01-05,1945-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1946,occurred,unknown,1946-01-03,1946-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1947,occurred,unknown,1947-01-08,1947-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1948,occurred,unknown,1947-12-24,1948-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1949,not_observed,unknown,,1949-season_report-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1950,occurred,unknown,1950-01-13,1950-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1951,occurred,unknown,1951-01-09,1951-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1952,occurred,unknown,1952-01-19,1952-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1953,not_observed,unknown,,1953-season_report-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。
1954,occurred,unknown,1954-01-27,1954-first_observed-1,arakawa1954,historical_compilation;definitions_vary,reviewed_with_limits,此年依歷史彙編記載呈現；當時的觀測者、方法與現代未必相同。；未取得冰脊連續可見的起訖；日期不是整段觀賞期間。
1955,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1956,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1957,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1958,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1959,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1960,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1961,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1962,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1963,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1964,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1965,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1966,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1967,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1968,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1969,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1970,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1971,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1972,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1973,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1974,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1975,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1976,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1977,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1978,occurred,unknown,,1978-season_report-1,ishiguro2004,retrospective_mention,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1979,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1980,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1981,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1982,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1983,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1984,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1985,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1986,unknown,unknown,,,ishiguro2001;hasegawa2024;mikami-graph;gemini_s006;gemini_s_nagano,unverified_secondary_candidate,candidate_unverified,找到二手年表線索，但上游原文尚未核實；不納入年度比例或首次日期統計。
1987,not_observed,unknown,,1987-season_report-1,gemini_s005,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1988,not_observed,unknown,,1988-season_report-1,gemini_s005,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1989,not_observed,unknown,,1989-season_report-1,gemini_s005,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1990,not_observed,unknown,,1990-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1991,occurred,unknown,,1991-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1992,not_observed,unknown,,1992-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1993,not_observed,unknown,,1993-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1994,not_observed,unknown,,1994-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1995,not_observed,unknown,,1995-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1996,not_observed,unknown,,1996-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1997,not_observed,unknown,,1997-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1998,occurred,unknown,,1998-sighting-2;1998-season_report-1,ishiguro2004;jcdp2017,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
1999,not_observed,unknown,,1999-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2000,not_observed,unknown,,2000-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2001,not_observed,unknown,,2001-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2002,not_observed,unknown,,2002-season_report-1,ishiguro2004,,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2003,occurred,unknown,,2003-sighting-2;2003-recognition-3;2003-ceremony-4;2003-season_report-1,ishiguro2004,,reviewed_with_limits,論文開頭概述1/19正式承認，後文第41頁區分1/17公認與1/19拝觀；本版按詳細記述分列。；這次目擊不是完整的首次出現時間或連續可見期間。
2004,occurred,unknown,,2004-first_observed-2;2004-first_observed-3;2004-season_report-1,shinshu;gemini_s007,secondary_annual_summary;first_date_disputed,reviewed_with_limits,出現日期有1/28與1/29記載；不以兩點拼成連續區間。
2005,not_observed,unknown,,2005-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2006,occurred,unknown,,2006-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2007,not_observed,unknown,,2007-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2008,occurred,unknown,,2008-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2009,not_observed,unknown,,2009-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
